product_id,title,vendor,price,image_path
63,ATS ELGI 25 Kg Air Operated Grease Pump – High-Pressure Industrial Lubrication System,ATS ELGI,32690.0,D:\ai_warehouse\raw_images\shopify_store\ats_elgi\ats_elgi_25_kg_air_operated_grease_pump_high_pressure_industrial_lubrication_system_air_operated_grease_pump_25_kg_rs_32690.0.jpg
64,MHM MATRIX 10kg Manual Grease Pump – Heavy-Duty Hand Operated Grease Bucket for Industrial Use,MATRIX,7715.0,D:\ai_warehouse\raw_images\shopify_store\matrix\mhm_matrix_10kg_manual_grease_pump_heavy_duty_hand_operated_grease_bucket_for_industrial_use_manual_grease_pump_rs_7715.0.jpg
65,ATS ELGI Hand Operated Grease Pump – 20kg - High-Pressure Manual Grease Bucket for Industrial Lubrication,ATS ELGI,10800.0,D:\ai_warehouse\raw_images\shopify_store\ats_elgi\ats_elgi_hand_operated_grease_pump_20kg_high_pressure_manual_grease_bucket_for_industrial_lubrication_20_rs_10800.0.jpg
66,Fevicol HeatX 500ml – High Heat-Resistant Adhesive for Lamination & Woodworking,FEVICOL,235.0,D:\ai_warehouse\raw_images\shopify_store\fevicol\fevicol_heatx_500ml_high_heat_resistant_adhesive_for_lamination_woodworking_heatx_rs_235.0.jpg
67,ATS ELGI Hand Operated Grease Pump – 10kg - High-Pressure Manual Grease Bucket for Industrial Lubrication,ATS ELGI,8390.0,D:\ai_warehouse\raw_images\shopify_store\ats_elgi\ats_elgi_hand_operated_grease_pump_10kg_high_pressure_manual_grease_bucket_for_industrial_lubrication_10_rs_8390.0.jpg
68,,,,D:\ai_warehouse\raw_images\shopify_store\unknown_brand\nan_nan_rs_nan.jpg
69,Bosch 14 Inch Cut-Off Wheel | Heavy-Duty Metal Cutting Disc,BOSCH,125.0,D:\ai_warehouse\raw_images\shopify_store\bosch\bosch_14_inch_cut_off_wheel_heavy_duty_metal_cutting_disc_cut_off_wheel_rs_125.0.jpg
70,Bosch 4 Inch Cut-Off Wheel | High Performance Metal Cutting Disc,BOSCH,14.5,D:\ai_warehouse\raw_images\shopify_store\bosch\bosch_4_inch_cut_off_wheel_high_performance_metal_cutting_disc_cut_off_wheel_rs_14.5.jpg
72,ATS ELGI Hand Operated Grease Pump – 5kg - High-Pressure Manual Grease Bucket for Industrial Lubrication,ATS ELGI,7339.0,D:\ai_warehouse\raw_images\shopify_store\ats_elgi\ats_elgi_hand_operated_grease_pump_5kg_high_pressure_manual_grease_bucket_for_industrial_lubrication_5_rs_7339.0.jpg
73,Plunger Attachment for CBR Testing – High-Precision Penetration Plunger - Soil Testing Equipment,Generic,3300.0,D:\ai_warehouse\raw_images\shopify_store\generic\plunger_attachment_for_cbr_testing_high_precision_penetration_plunger_soil_testing_equipment_plunger_attachment_for_cbr_test_rs_3300.0.jpg
74,Mitutoyo Digital Vernier Caliper – High-Precision Professional Measuring Instrument,Mitutoyo,7790.0,D:\ai_warehouse\raw_images\shopify_store\mitutoyo\mitutoyo_digital_vernier_caliper_high_precision_professional_measuring_instrument_6_inch_rs_7790.0.jpg
77,KENCY Digital Vernier Caliper – High-Precision LCD Measurement Tool,KENCY,1945.0,D:\ai_warehouse\raw_images\shopify_store\kency\kency_digital_vernier_caliper_high_precision_lcd_measurement_tool_6_inches_rs_1945.0.jpg
78,,,2990.0,D:\ai_warehouse\raw_images\shopify_store\unknown_brand\nan_8_inches_rs_2990.0.jpg
79,,,4490.0,D:\ai_warehouse\raw_images\shopify_store\unknown_brand\nan_12_inches_rs_4490.0.jpg
80,94PCS Socket Tool Set 112194 – Professional Mechanic Tool Kit,Hanbon,4600.0,D:\ai_warehouse\raw_images\shopify_store\hanbon\94pcs_socket_tool_set_112194_professional_mechanic_tool_kit_default_title_rs_4600.0.jpg
81,8PCS Pneumatic Impact Deep Socket Set 112308 – Heavy-Duty Air Impact Sockets (22–41mm),Hanbon,0.0,D:\ai_warehouse\raw_images\shopify_store\hanbon\8pcs_pneumatic_impact_deep_socket_set_112308_heavy_duty_air_impact_sockets_22_41mm_pneumatic_impact_deep_socket_set_rs_0.0.jpg
82,Industrial Welding Gloves 382111 – 11-Inch Heat-Resistant Protective Gloves for Welding & Heavy-Duty Work,Hanbon,150.0,D:\ai_warehouse\raw_images\shopify_store\hanbon\industrial_welding_gloves_382111_11_inch_heat_resistant_protective_gloves_for_welding_heavy_duty_work_industrial_welding_gloves_rs_150.0.jpg
83,Professional Mini Welding Machine 311121 – ZX7-225A Portable Inverter Welder - Heavy-Duty Performance,Hanbon,0.0,D:\ai_warehouse\raw_images\shopify_store\hanbon\professional_mini_welding_machine_311121_zx7_225a_portable_inverter_welder_heavy_duty_performance_mini_welding_machine_rs_0.0.jpg
84,1600W Cleaning Machine 141604 – Heavy-Duty Multi-Purpose Industrial Cleaner,Hanbon,0.0,D:\ai_warehouse\raw_images\shopify_store\hanbon\1600w_cleaning_machine_141604_heavy_duty_multi_purpose_industrial_cleaner_cleaning_machine_rs_0.0.jpg
